"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.css", "CSS", 0, 105, 0, 0, 24, 10, 139
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.html", "HTML", 0, 0, 241, 0, 5, 10, 256
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.js", "JavaScript", 6, 0, 0, 0, 4, 2, 12
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.css", "CSS", 0, 107, 0, 0, 17, 6, 130
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.html", "HTML", 0, 0, 270, 0, 5, 9, 284
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.js", "JavaScript", 179, 0, 0, 0, 32, 10, 221
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\gallery.css", "CSS", 0, 127, 0, 0, 18, 7, 152
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\gallery.js", "JavaScript", 151, 0, 0, 0, 14, 6, 171
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\galleryItems.json", "JSON", 0, 0, 0, 0, 0, 1, 1
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\general.css", "CSS", 0, 283, 0, 0, 45, 21, 349
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\general.js", "JavaScript", 5, 0, 0, 0, 2, 0, 7
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.css", "CSS", 0, 206, 0, 0, 32, 17, 255
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.html", "HTML", 0, 0, 304, 0, 5, 11, 320
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.js", "JavaScript", 152, 0, 0, 0, 19, 15, 186
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-gallery.js", "JavaScript", 138, 0, 0, 0, 19, 5, 162
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-menu.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager.css", "CSS", 0, 372, 0, 0, 39, 19, 430
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager.html", "HTML", 0, 0, 180, 0, 5, 5, 190
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager.js", "JavaScript", 148, 0, 0, 0, 19, 10, 177
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.css", "CSS", 0, 225, 0, 0, 30, 18, 273
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.html", "HTML", 0, 0, 199, 0, 5, 10, 214
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.js", "JavaScript", 141, 0, 0, 0, 17, 7, 165
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\navigation.css", "CSS", 0, 294, 0, 0, 29, 20, 343
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\navigation.js", "JavaScript", 49, 0, 0, 0, 3, 4, 56
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.css", "CSS", 0, 206, 0, 0, 7, 16, 229
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.js", "JavaScript", 126, 0, 0, 0, 13, 5, 144
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\scrollAnim.css", "CSS", 0, 26, 0, 0, 0, 3, 29
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\scrollAnim.js", "JavaScript", 22, 0, 0, 0, 0, 1, 23
"Total", "-", 1117, 1951, 1194, 0, 408, 249, 4919